id,username,userId,assignmentId,attemptNumber,credit,creditOverride,assignedVariant,generatedVariant,contentId,began,finished
10,,2CWpWnEp3XaLhGO3iUgG7,LF3_ONicEdcWgbuSqgxTa,1,0,NULL,NULL,NULL,,"2020-11-16 09:02:34","2020-11-16 09:13:07"
12,,2CWpWnEp3XaLhGO3iUgG7,kXhVAtL0zDjJI7p3ZpUOq,1,0,NULL,NULL,NULL,,"2020-11-16 09:06:51","2020-11-16 09:10:06"
13,,keYPyiV1oatzISMEGcIEk,kXhVAtL0zDjJI7p3ZpUOq,1,0.666667,NULL,NULL,NULL,,"2020-11-16 12:05:45","2020-11-16 12:25:24"
14,,yrvHR1GZA2wEie7L7lp83,kXhVAtL0zDjJI7p3ZpUOq,1,0.666667,NULL,NULL,NULL,,"2020-11-16 12:05:47","2020-11-16 12:41:47"
15,,52NtBLyLPwAo55GJ6ZipR,LF3_ONicEdcWgbuSqgxTa,1,1,NULL,NULL,NULL,,"2020-11-16 12:06:03","2020-11-16 12:13:37"
16,,k5N2fdbBdBWgf9OIRi5bz,LF3_ONicEdcWgbuSqgxTa,1,0.583333,NULL,NULL,NULL,,"2020-11-16 12:06:19","2020-11-16 12:41:05"
17,,Cy0nLzBJ6wtmKoYzOJEkm,kXhVAtL0zDjJI7p3ZpUOq,1,NULL,NULL,NULL,NULL,,"2020-11-16 12:06:24",NULL
18,,Ky4JpriOY9XX6kG9cPPRJ,kXhVAtL0zDjJI7p3ZpUOq,1,0.416667,NULL,NULL,NULL,,"2020-11-16 12:06:41","2020-11-16 12:37:25"
20,,E4WQQ0Y0uaYXEYubjEn6T,kXhVAtL0zDjJI7p3ZpUOq,1,1,NULL,NULL,NULL,,"2020-11-16 12:06:46","2020-11-16 12:41:47"
21,,8dvGNOnRD0qObwq7FnvhE,kXhVAtL0zDjJI7p3ZpUOq,1,0.416667,NULL,NULL,NULL,,"2020-11-16 12:07:18","2020-11-16 12:39:51"
22,,j9GkgpnSoNsEFvOrHqYYe,LF3_ONicEdcWgbuSqgxTa,1,0.0833333,NULL,NULL,NULL,,"2020-11-16 12:07:40","2020-11-16 12:30:00"
23,,wmAiVBfnwUOkT2UpOo6t1,LF3_ONicEdcWgbuSqgxTa,1,0,NULL,NULL,NULL,,"2020-11-16 12:09:22","2020-11-16 12:31:05"
24,,uRuzuHL7rU3TZHpU50NXu,kXhVAtL0zDjJI7p3ZpUOq,1,0.583333,NULL,NULL,NULL,,"2020-11-16 12:10:28","2020-11-16 12:39:59"
25,,GBiUK4dfUUvdvQvZjdhQE,kXhVAtL0zDjJI7p3ZpUOq,1,NULL,NULL,NULL,NULL,,"2020-11-16 12:20:28",NULL
